GENESIS-Tabelle: 81000-0002
VGR des Bundes - Bruttowertschöpfung, Bruttoinlandsprodukt;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
(nominal/preisbereinigt): Deutschland, Quartale, Original-;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
und bereinigte Daten;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Volkswirtschaftliche Gesamtrechnungen des Bundes;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Deutschland;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;2016;2016;2016;2016;2017;2017;2017;2017;2018;2018;2018;2018;2019;2019;2019;2019;2020;2020;2020;2020;2021;2021;2021;2021;2022;2022;2022;2022
;;;;1. Quartal;2. Quartal;3. Quartal;4. Quartal;1. Quartal;2. Quartal;3. Quartal;4. Quartal;1. Quartal;2. Quartal;3. Quartal;4. Quartal;1. Quartal;2. Quartal;3. Quartal;4. Quartal;1. Quartal;2. Quartal;3. Quartal;4. Quartal;1. Quartal;2. Quartal;3. Quartal;4. Quartal;1. Quartal;2. Quartal;3. Quartal;4. Quartal
Originalwerte;in jeweiligen Preisen (Mrd. EUR);Bruttowertschöpfung;jew. ME;683,924;703,128;710,932;724,459;716,540;722,090;744,085;761,359;740,971;751,503;759,937;782,754;766,600;768,422;790,455;805,184;775,709;695,296;777,513;801,804;770,783;782,687;827,199;845,670;819,566;...;...;...
Originalwerte;in jeweiligen Preisen (Mrd. EUR);Gütersteuern abzügl. Gütersubventionen;jew. ME;79,026;75,952;78,048;79,271;82,300;79,100;79,855;81,831;83,429;82,217;82,963;84,086;86,020;83,768;86,295;86,606;84,101;78,764;75,867;78,506;77,867;83,373;88,171;94,870;97,364;...;...;...
Originalwerte;in jeweiligen Preisen (Mrd. EUR);     Gütersteuern;jew. ME;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Originalwerte;in jeweiligen Preisen (Mrd. EUR);     Gütersubventionen;jew. ME;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Originalwerte;in jeweiligen Preisen (Mrd. EUR);Bruttoinlandsprodukt;jew. ME;762,950;779,080;788,980;803,730;798,840;801,190;823,940;843,190;824,400;833,720;842,900;866,840;852,620;852,190;876,750;891,790;859,810;774,060;853,380;880,310;848,650;866,060;915,370;940,540;916,930;...;...;...
Originalwerte;in jeweiligen Preisen (Mrd. EUR);nachr.: Bruttoinlandsprodukt (Veränderung in %);Prozent;3,5;5,0;3,0;2,9;4,7;2,8;4,4;4,9;3,2;4,1;2,3;2,8;3,4;2,2;4,0;2,9;0,8;-9,2;-2,7;-1,3;-1,3;11,9;7,3;6,8;8,0;...;...;...
Originalwerte;in jeweiligen Preisen (Mrd. EUR);nachr.: Bruttoinlandsprodukt je Einwohner;jew. ME;9280,000;9466,000;9577,000;9742,000;9678,000;9697,000;9964,000;10187,000;9955,000;10063,000;10164,000;10440,000;10268,000;10260,000;10551,000;10721,000;10338,000;9312,000;10263,000;10581,000;10206,000;10416,000;11002,000;11293,000;11017,000;...;...;...
Originalwerte;preisbereinigt, Kettenindex (2015=100);Bruttowertschöpfung;jew. ME;99,660;102,340;103,070;103,950;103,400;103,590;106,080;107,360;105,040;105,890;106,400;107,700;106,640;106,010;108,240;108,350;105,230;93,370;104,030;105,780;101,500;103,530;107,450;107,580;105,170;...;...;...
