1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20
Schluessel;Straftat;Anzahl erfasste Faelle;%-Anteil an allen Faellen;erfasste Faelle, davon Versuche Anzahl;erfasste Faelle, davon Versuche in %;Tatortverteilung bis unter 20000 Einwohner;Tatortverteilung 20000 bis unter 100000 Einwohner;Tatortverteilung 100000 bis unter 500000 Einwohner;Tatortverteilung 500000 und mehr Einwohner;Tatortverteilung unbekannt;mit Schusswaffe gedroht;mit Schusswaffe geschossen;Aufklaerung - Anzahl Faelle;Aufklaerung in % (Aufklaerungsquote) ;Tatverdaechtige insgesamt;Tatverdaechtige maennlich;Tatverdaechtige weiblich;Anzahl nichtdeutsche Tatverdaechtige;Anteil nichtdeutsche Tatverdaechtige an Gesamtzahl in %
------;Straftaten insgesamt;5,310,621;100;399,759;7.5;1,224,799;1,409,479;1,034,848;1,517,467;124,028;4,370;4,454;3,100,401;58.4;1,969,617;1,481,252;488,365;663,199;33.7
0;Straftaten gegen das Leben;3,289;0.1;1,820;55.3;1,057;1,027;520;669;16;7;147;2,947;89.6;3,649;3,037;612;1,254;34.4
10000;Mord § 211 StGB;719;0;474;65.9;235;212;115;152;5;1;68;672;93.5;763;664;99;276;36.2
10079;Sonstiger Mord;680;0;450;66.2;226;201;111;137;5;0;64;639;94;714;620;94;249;34.9
11000;Mord im Zusammenhang mit Raubdelikten;31;0;20;64.5;6;8;4;13;0;1;4;26;83.9;42;38;4;23;54.8
12000;Mord im Zusammenhang mit Sexualdelikten;8;0;4;50;3;3;0;2;0;0;0;7;87.5;7;6;1;4;57.1
20000;Totschlag und Tötung auf Verlangen §§ 212, 213, 216 StGB;1,682;0;1,298;77.2;542;520;273;342;5;6;77;1,607;95.5;1,914;1,696;218;810;42.3
20010;Totschlag § 212 StGB;1,664;0;1,295;77.8;533;515;272;339;5;6;76;1,589;95.5;1,895;1,681;214;809;42.7
20020;Minder schwerer Totschlag § 213 StGB;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
20030;Tötung auf Verlangen § 216 StGB;18;0;3;16.7;9;5;1;3;0;0;1;18;100;19;15;4;1;5.3
30000;Fahrlässige Tötung § 222 StGB - nicht i.V.m. Verkehrsunfall -;791;0;0;0;257;263;112;155;4;0;2;576;72.8;881;609;272;123;14
40000;Abbruch der Schwangerschaft §§ 218, 218b, 218c, 219a, 219b StGB;97;0;48;49.5;23;32;20;20;2;0;0;92;94.8;97;73;24;46;47.4
40010;Schwangerschaftsabbruch § 218 StGB;93;0;48;51.6;20;32;19;20;2;0;0;89;95.7;94;71;23;45;47.9
40020;Schwangerschaftsabbruch ohne ärztliche Feststellung, unrichtige ärztliche Feststellung § 218b StGB;1;0;0;0;0;0;1;0;0;0;0;1;100;1;1;0;0;0
40030;Ärztliche Pflichtverletzung § 218c StGB;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
40040;Werbung für den Abbruch der Schwangerschaft § 219a StGB;1;0;0;0;1;0;0;0;0;0;0;1;100;1;1;0;0;0
40050;Inverkehrbringen von Mitteln Schwangerschaftsabbruch § 219b StGB;1;0;0;0;1;0;0;0;0;0;0;1;100;1;0;1;1;100
50000;Geschäftsmäßige Förderung der Selbsttötung;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
100000;Straftaten gegen die sexuelle Selbstbestimmung insgesamt;81,630;1.5;2,845;3.5;25,313;22,478;14,645;16,633;2,561;19;2;67,656;82.9;60,992;55,770;5,222;15,259;25
110000;Straftaten gegen die sexuelle Selbstbestimmung §§ 174, 174a, 174b, 174c, 177, 178, 184i, 184j StGB;29,419;0.6;1,973;6.7;7,336;8,248;5,917;7,590;328;17;2;23,746;80.7;22,603;22,155;448;8,227;36.4
111000;Vergewaltigung, sexuelle Nötigung und sexueller Übergriff im besonders schweren Fall einschl. mit Todesfolge §§ 177, 178 StGB;9,752;0.2;994;10.2;2,479;2,584;1,942;2,600;147;14;0;8,276;84.9;8,480;8,376;104;3,110;36.7
111700;Vergewaltigung § 177 Abs. 6, 7, 8 StGB;8,949;0.2;900;10.1;2,269;2,372;1,769;2,404;135;8;0;7,609;85;7,797;7,710;87;2,909;37.3
111710;Vergewaltigung § 177 Abs. 6 Nr. 1, 2 StGB (ohne Schlüssel 111730);7,257;0.1;811;11.2;1,841;1,951;1,446;1,909;110;3;0;6,259;86.2;6,345;6,274;71;2,473;39
111720;Vergewaltigung im besonders schweren Fall § 177 Abs. 6 Nr. 1, 2 i. V. m. Abs. 7, 8 StGB;572;0;43;7.5;148;164;129;119;12;5;0;477;83.4;539;536;3;196;36.4
111730;Vergewaltigung von widerstandsunfähigen Personen (§ 177 Abs. 2 Nr. 1, Abs. 4) gem. § 177 Abs. 6 Nr. 1, 2 StGB;1,120;0;46;4.1;280;257;194;376;13;0;0;873;77.9;968;955;13;263;27.2
111800;Sexueller Übergriff und sexuelle Nötigung im besonders schweren Fall § 177 Abs. 1, 2, 4, 5 i. V. m. Abs. 6 Nr. 2, Abs. 7, 8 StGB;803;0;94;11.7;210;212;173;196;12;6;0;667;83.1;719;702;17;217;30.2
111810;Sexueller Übergriff im besonders schweren Fall § 177 Abs. 1, 2 (ohne Nr. 1) i. V. m. Abs. 6 Nr. 2, Abs. 7, 8 StGB;301;0;51;16.9;80;78;61;79;3;2;0;247;82.1;266;258;8;72;27.1
111820;Sexuelle Nötigung im besonders schweren Fall § 177 Abs. 5 i.V.m. Abs. 6 Nr. 2, Abs. 7, 8 StGB;369;0;36;9.8;103;103;83;73;7;3;0;308;83.5;334;328;6;114;34.1
111830;Sexueller Übergriff an widerstandsunfähigen Personen im besonders schweren Fall § 177 Abs. 2 Nr. 1, Abs. 4 i. V. m. Abs. 6 Nr. 2, Abs. 7, 8 StGB;133;0;7;5.3;27;31;29;44;2;1;0;112;84.2;122;119;3;33;27
111900;Sexueller Übergriff, sexuelle Nötigung und Vergewaltigung mit Todesfolge § 178 StGB;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
112100;Sexueller Übergriff und sexuelle Nötigung § 177 Abs. 1, 2, 4, 5, 9 StGB;6,160;0.1;950;15.4;1,719;1,748;1,109;1,485;99;2;2;5,155;83.7;5,084;4,971;113;1,696;33.4
112110;Sexueller Übergriff § 177 Abs. 1, 2 (ohne Nr. 1), 9 StGB;2,702;0.1;384;14.2;759;738;450;722;33;2;1;2,274;84.2;2,213;2,173;40;729;32.9
112120;Sexuelle Nötigung § 177 Abs. 5, 9 StGB;2,789;0.1;529;19;718;817;540;659;55;0;1;2,289;82.1;2,301;2,243;58;834;36.2
112130;Sexueller Übergriff an widerstandsunfähigen Personen § 177 Abs. 2 Nr. 1, Abs. 4, 9 StGB;669;0;37;5.5;242;193;119;104;11;0;0;592;88.5;610;595;15;145;23.8
113000;Sexueller Missbrauch von Schutzbefohlenen pp., unter Ausnutzung einer Amtsstellung oder eines Vertrauensverhältnisses §§ 174, 174a-c StGB;635;0;29;4.6;210;164;89;165;7;0;0;595;93.7;500;454;46;62;12.4
113010;Sexueller Missbrauch von Schutzbefohlenen ab 14 Jahren § 174 StGB;426;0;22;5.2;153;100;67;101;5;0;0;411;96.5;332;303;29;43;13
113020;Sexueller Missbrauch von Gefangenen/Verwahrten usw. ab 14 Jahren § 174a StGB;55;0;3;5.5;20;23;4;7;1;0;0;46;83.6;42;32;10;5;11.9
113030;Sexueller Missbrauch - Ausnutzung einer Amtsstellung zum Nachteil von Personen ab 14 Jahren § 174b StGB;9;0;1;11.1;2;4;0;3;0;0;0;5;55.6;5;5;0;0;0
113040;Sexueller Missbrauch - Ausnutzung eines Beratungs-/Behandlungs-/Betreuungsverhältnisses zum Nachteil von Personen ab 14 Jahren § 174c StGB;145;0;3;2.1;35;37;18;54;1;0;0;133;91.7;121;114;7;14;11.6
114000;Sexuelle Belästigung § 184i StGB;12,860;0.2;0;0;2,926;3,749;2,776;3,334;75;1;0;9,715;75.5;9,084;8,897;187;3,565;39.2
115000;Straftaten aus Gruppen § 184j StGB;12;0;0;0;2;3;1;6;0;0;0;5;41.7;22;22;0;9;40.9
130000;Sexueller Missbrauch §§ 176, 176a, 176b, 182, 183, 183a StGB;24,504;0.5;779;3.2;7,579;6,723;4,396;5,130;676;2;0;18,681;76.2;15,688;14,915;773;3,336;21.3
131000;Sexueller Missbrauch von Kindern §§ 176, 176a, 176b StGB;14,594;0.3;583;4;5,379;3,972;2,332;2,293;618;2;0;12,614;86.4;10,929;10,334;595;1,841;16.8
131010;Sexuelle Handlungen § 176 Abs. 5 StGB;141;0;0;0;37;42;27;23;12;0;0;113;80.1;115;105;10;16;13.9
131100;Sexuelle Handlungen § 176 Abs. 1 und 2 StGB;5,685;0.1;366;6.4;2,137;1,513;938;952;145;0;0;5,158;90.7;4,797;4,595;202;880;18.3
131200;Exhibitionistische/sexuelle Handlungen vor Kindern § 176 Abs. 4 Nr. 1 StGB;1,445;0;47;3.3;387;400;282;356;20;0;0;953;66;903;853;50;214;23.7
131300;Sexuelle Handlungen § 176 Abs. 4 Nr. 2 StGB;489;0;66;13.5;189;150;66;52;32;0;0;402;82.2;389;361;28;43;11.1
131400;Einwirken auf Kinder § 176 Abs. 4 Nr. 3 und 4 StGB;3,839;0.1;0;0;1,592;1,037;513;440;257;0;0;3,241;84.4;2,567;2,405;162;274;10.7
131500;Vollzug des Beischlafs mit einem Kind oder Vornahme einer ähnlichen sexuellen Handlung § 176a Abs. 2 Nr. 1 StGB;1,173;0;31;2.6;503;326;166;132;46;1;0;1,091;93;1,050;1,025;25;211;20.1
131600;Schwerer sexueller Missbrauch von Kindern zur Herstellung und Verbreitung pornografischer Schriften § 176a Abs. 3 StGB;197;0;9;4.6;43;40;49;40;25;0;0;179;90.9;160;148;12;9;5.6
131700;Sonstiger schwerer sexueller Missbrauch von Kindern § 176a StGB;1,625;0;64;3.9;491;464;291;298;81;1;0;1,477;90.9;1,433;1,321;112;253;17.7
131800;Sexueller Missbrauch von Kindern mit Todesfolge § 176b StGB;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
132000;Exhibitionistische Handlungen und Erregung öffentlichen Ärgernisses §§ 183, 183a StGB;8,808;0.2;0;0;1,819;2,408;1,898;2,657;26;0;0;5,104;57.9;4,186;4,034;152;1,412;33.7
132010;Exhibitionistische Handlungen § 183 StGB;7,513;0.1;0;0;1,595;2,065;1,610;2,220;23;0;0;4,183;55.7;3,346;3,346;0;1,163;34.8
132020;Erregung öffentlichen Ärgernisses § 183a StGB;1,295;0;0;0;224;343;288;437;3;0;0;921;71.1;957;805;152;296;30.9
133000;Sexueller Missbrauch von Jugendlichen § 182 StGB;1,102;0;196;17.8;381;343;166;180;32;0;0;963;87.4;870;841;29;161;18.5
133100;Sexueller Missbrauch von Jugendlichen gegen Entgelt § 182 Abs. 2 StGB;347;0;115;33.1;95;89;52;97;14;0;0;290;83.6;244;239;5;45;18.4
133700;Sonstiger Sexueller Missbrauch von Jugendlichen § 182 StGB;755;0;81;10.7;286;254;114;83;18;0;0;673;89.1;636;612;24;117;18.4
140000;Ausnutzen sexueller Neigung §§ 180, 180a, 181a, 184, 184a, 184b, 184c, 184d, 184e, 184f, 184g StGB;27,707;0.5;93;0.3;10,398;7,507;4,332;3,913;1,557;0;0;25,229;91.1;24,595;20,567;4,028;4,083;16.6
140010;Ausübung der verbotenen Prostitution § 184f StGB;672;0;0;0;94;71;97;407;3;0;0;658;97.9;416;40;376;294;70.7
140020;Jugendgefährdende Prostitution § 184g StGB;14;0;0;0;5;5;3;1;0;0;0;12;85.7;13;0;13;1;7.7
141000;Förderung sexueller Handlungen Minderjähriger oder Ausbeuten von Prostituierten §§ 180, 180a StGB;145;0;24;16.6;32;52;27;28;6;0;0;119;82.1;141;100;41;40;28.4
141100;Förderung sexueller Handlungen Minderjähriger § 180 StGB;126;0;24;19;26;44;25;25;6;0;0;104;82.5;124;89;35;31;25
141110;Förderung sexueller Handlungen Minderjähriger durch Vermittlung oder gegen Entgelt § 180 Abs. 1, Nr. 1, Abs. 2 StGB;74;0;16;21.6;15;21;15;20;3;0;0;62;83.8;73;60;13;22;30.1
141179;Sonstige Förderung sexueller Handlungen Minderjähriger § 180 StGB;52;0;8;15.4;11;23;10;5;3;0;0;42;80.8;52;30;22;10;19.2
141200;Ausbeuten von Prostituierten § 180a StGB;19;0;0;0;6;8;2;3;0;0;0;15;78.9;17;11;6;9;52.9
142000;Zuhälterei § 181a StGB;137;0;0;0;28;21;29;51;8;0;0;125;91.2;143;125;18;82;57.3
143000;Verbreitung pornografischer Schriften (Erzeugnisse) §§ 184, 184a, 184b, 184c, 184d, 184e StGB;26,739;0.5;69;0.3;10,239;7,358;4,176;3,426;1,540;0;0;24,315;90.9;23,903;20,315;3,588;3,669;15.3
143010;Sonstige Verbreitung pornografischer Schriften (Erzeugnisse) § 184 StGB;1,923;0;0;0;592;452;317;339;223;0;0;1,442;75;1,426;1,271;155;226;15.8
143020;Verbreitung gewalt- oder tierpornografischer Schriften § 184a StGB;339;0;1;0.3;132;105;52;29;21;0;0;312;92;310;275;35;38;12.3
143030;Zugänglichmachen pornografischer Inhalte mittels Rundfunk oder Telemedien;77;0;0;0;23;15;17;15;7;0;0;46;59.7;46;39;7;4;8.7
143040;Veranstaltung und Besuch kinder- und jugendpornografischer Darbietungen § 184e StGB;1;0;0;0;0;0;0;1;0;0;0;1;100;2;2;0;0;0
143100;Verbreitung pornografischer Schriften (Erzeugnisse) an Personen unter 18 Jahren § 184 Abs. 1 Nr. 1, 2, 5 StGB;2,531;0;0;0;1,303;672;272;162;122;0;0;2,303;91;2,103;1,829;274;196;9.3
143200;Verbreitung, Erwerb, Besitz und Herstellung kinderpornografischer Schriften § 184b StGB;18,761;0.4;47;0.3;6,947;5,281;3,071;2,488;974;0;0;17,377;92.6;17,807;15,180;2,627;2,950;16.6
143210;Verbreitung, Erwerb, Besitz und Herstellung von Kinderpornografie § 184b Abs. 1 StGB;9,023;0.2;47;0.5;3,355;2,470;1,481;1,181;536;0;0;8,185;90.7;8,653;7,489;1,164;1,634;18.9
143211;Verbreitung von Kinderpornografie § 184b Abs. 1 Nr. 1 StGB;7,624;0.1;35;0.5;2,758;2,098;1,269;1,026;473;0;0;6,877;90.2;7,348;6,385;963;1,421;19.3
143212;Besitzverschaffung für andere von Kinderpornografie § 184b Abs. 1 Nr. 2 StGB;990;0;0;0;410;271;165;104;40;0;0;925;93.4;989;880;109;180;18.2
143213;Herstellung auch ohne Verbreitungsabsicht von Kinderpornografie mit tatsächlichem Geschehen § 184b Abs. 1 Nr. 3 StGB;190;0;12;6.3;85;47;28;19;11;0;0;177;93.2;184;149;35;22;12
143214;Herstellung mit Verbreitungsabsicht von Kinderpornografie § 184b Abs. 1 Nr. 4 StGB;219;0;0;0;102;54;19;32;12;0;0;206;94.1;204;139;65;24;11.8
143220;Verbreitung und Herstellung von Kinderpornografie gewerbs-/bandenmäßig § 184b Abs. 2 StGB;52;0;0;0;17;12;9;6;8;0;0;44;84.6;56;53;3;12;21.4
143230;Besitz oder sich Verschaffen von Kinderpornografie § 184b Abs. 3 StGB;9,686;0.2;0;0;3,575;2,799;1,581;1,301;430;0;0;9,148;94.4;9,458;7,965;1,493;1,344;14.2
143500;Verbreitung, Erwerb, Besitz und Herstellung jugendpornografischer Schriften § 184c StGB;3,107;0.1;21;0.7;1,242;833;447;392;193;0;0;2,834;91.2;2,829;2,313;516;313;11.1
143510;Verbreitung, Erwerb, Besitz und Herstellung von Jugendpornografie § 184c Abs. 1 StGB;1,611;0;21;1.3;638;430;215;209;119;0;0;1,463;90.8;1,518;1,182;336;165;10.9
143511;Verbreitung von Jugendpornografie § 184c Abs. 1 Nr. 1 StGB;1,216;0;15;1.2;474;317;167;161;97;0;0;1,092;89.8;1,157;896;261;117;10.1
143512;Besitzverschaffung für andere von Jugendpornografie § 184c Abs. 1 Nr. 2 StGB;158;0;0;0;61;42;22;16;17;0;0;145;91.8;148;110;38;14;9.5
143513;Herstellung auch ohne Verbreitungsabsicht mit tatsächlichem Geschehen von Jugendpornografie § 184c Abs. 1 Nr. 3 StGB;106;0;6;5.7;48;29;11;15;3;0;0;102;96.2;92;89;3;23;25
143514;Herstellung mit Verbreitungsabsicht von Jugendpornografie § 184c Abs. 1 Nr. 4 StGB;131;0;0;0;55;42;15;17;2;0;0;124;94.7;135;101;34;11;8.1
143520;Verbreitung und Herstellung von Jugendpornografie gewerbs-/bandenmäßig § 184c Abs. 2 StGB;18;0;0;0;9;4;2;2;1;0;0;16;88.9;25;21;4;5;20
143530;Besitz oder sich Verschaffen von Jugendpornografie § 184c Abs. 3 StGB;1,478;0;0;0;595;399;230;181;73;0;0;1,355;91.7;1,329;1,149;180;147;11.1
200000;Rohheitsdelikte und Straftaten gegen die persönliche Freiheit;766,262;14.4;54,391;7.1;198,626;218,016;150,953;194,846;3,821;4,221;1,010;671,496;87.6;584,014;470,622;113,392;182,099;31.2
210000;Raub, räuberische Erpressung und räuberischer Angriff auf Kraftfahrer §§ 249-252, 255, 316a StGB;33,872;0.6;7,160;21.1;4,382;8,582;8,023;12,817;68;1,579;98;20,620;60.9;25,813;23,437;2,376;10,378;40.2
210010;Sonstiger Raub § 249 StGB;2,916;0.1;560;19.2;491;855;620;937;13;9;0;1,767;60.6;2,654;2,394;260;1,036;39
210020;Sonstiger schwerer Raub § 250 StGB;956;0;209;21.9;124;261;250;319;2;120;12;579;60.6;1,045;986;59;400;38.3
210030;Sonstiger Raub mit Todesfolge § 251 StGB;2;0;1;50;0;1;1;0;0;0;0;1;50;2;2;0;1;50
