GENESIS-Tabelle: 21711-0003
Budget für Bildung, Forschung und Wissenschaft: Deutschland,;;;;;;;;
Jahre, Budgetbereiche;;;;;;;;
Bildungsberichterstattung für nationale Zwecke;;;;;;;;
Deutschland;;;;;;;;
;2017;2017;2018;2018;2019;2019;2020;2020
;Budget für Bildung, Forschung und Wissenschaft;Anteil des Budgets für Bild.,Forsch.,Wiss. am BIP;Budget für Bildung, Forschung und Wissenschaft;Anteil des Budgets für Bild.,Forsch.,Wiss. am BIP;Budget für Bildung, Forschung und Wissenschaft;Anteil des Budgets für Bild.,Forsch.,Wiss. am BIP;Budget für Bildung, Forschung und Wissenschaft;Anteil des Budgets für Bild.,Forsch.,Wiss. am BIP
;Mrd. EUR;Prozent;Mrd. EUR;Prozent;Mrd. EUR;Prozent;Mrd. EUR;Prozent
Bildung;210,2;6,4;219,8;6,5;232,9;6,7;241,1;7,2
  Bildungseinrichtungen des Elementarbereichs;30,3;0,9;32,6;1,0;35,3;1,0;36,9;1,1
  Bildungseinricht. d. Schul- u. schulnahen Bereichs;97,3;3,0;101,0;3,0;106,2;3,1;110,4;3,3
  Bildungseinrichtungen des Tertiärbereichs;39,7;1,2;41,7;1,2;44,4;1,3;43,9;1,3
  Sonstige Bildungseinrichtungen;2,7;0,1;3,0;0,1;3,0;0,1;3,1;0,1
  Bildungsgüter und -dienste (private Haushalte);6,5;0,2;6,5;0,2;6,8;0,2;6,9;0,2
  Förderung von Bildungsteilnehmern (ISCED);12,9;0,4;13,2;0,4;14,2;0,4;16,9;0,5
  Betriebliche Weiterbildung;11,2;0,3;12,0;0,4;12,7;0,4;12,7;0,4
  Weitere Bildungsangebote;8,5;0,3;8,7;0,3;9,0;0,3;8,8;0,3
  Förderung von Teilnehmenden an Weiterbildung;1,2;0,0;1,2;0,0;1,3;0,0;1,5;0,0
Forschung und Entwicklung;99,6;3,0;104,7;3,1;110,0;3,2;105,9;3,1
  Wirtschaft;68,8;2,1;72,1;2,1;75,8;2,2;71,0;2,1
  Staatliche Forschungseinrichtungen;1,8;0,1;1,8;0,1;1,9;0,1;2,0;0,1
  Private Forschungseinrichtungen ohne Erwerbszweck;11,7;0,4;12,4;0,4;13,1;0,4;13,6;0,4
  Hochschulen;17,3;0,5;18,4;0,5;19,2;0,6;19,3;0,6
Sonstige Bildungs- und Wissenschaftsinfrastruktur;6,4;0,2;5,7;0,2;6,0;0,2;6,4;0,2
  Wiss. Museen und Bibliotheken, FIZ (ohne FuE);0,9;0,0;0,9;0,0;1,0;0,0;1,0;0,0
  Nichtwissenschaftliche Museen und Bibliotheken;2,8;0,1;2,5;0,1;2,6;0,1;2,9;0,1
  Außeruniv. Einricht. für Wiss. u. Forsch. (oh.FuE);2,7;0,1;2,2;0,1;2,4;0,1;2,4;0,1
Insgesamt;298,9;9,1;311,8;9,3;329,7;9,5;334,1;9,9
__________
© Statistisches Bundesamt (Destatis), 2022
Stand: 11.06.2022 / 12:18:08
