_id,ags2,bundesland,datum,bl_inz,bl_inz_rate,bl_inz_fix,bl_inz_rate_fix
1,01,Schleswig-Holstein,2020-03-01,2,0.1,-99,-99
2,01,Schleswig-Holstein,2020-03-02,4,0.1,-99,-99
3,01,Schleswig-Holstein,2020-03-03,5,0.2,-99,-99
4,01,Schleswig-Holstein,2020-03-04,5,0.2,-99,-99
5,01,Schleswig-Holstein,2020-03-05,6,0.2,-99,-99
6,01,Schleswig-Holstein,2020-03-06,7,0.2,-99,-99
7,01,Schleswig-Holstein,2020-03-07,6,0.2,-99,-99
8,01,Schleswig-Holstein,2020-03-08,7,0.2,-99,-99
9,01,Schleswig-Holstein,2020-03-09,8,0.3,-99,-99
10,01,Schleswig-Holstein,2020-03-10,14,0.5,-99,-99
11,01,Schleswig-Holstein,2020-03-11,33,1.1,-99,-99
12,01,Schleswig-Holstein,2020-03-12,50,1.7,-99,-99
13,01,Schleswig-Holstein,2020-03-13,75,2.6,-99,-99
14,01,Schleswig-Holstein,2020-03-14,99,3.4,-99,-99
15,01,Schleswig-Holstein,2020-03-15,119,4.1,-99,-99
16,01,Schleswig-Holstein,2020-03-16,145,5.0,-99,-99
17,01,Schleswig-Holstein,2020-03-17,184,6.3,-99,-99
18,01,Schleswig-Holstein,2020-03-18,218,7.5,-99,-99
19,01,Schleswig-Holstein,2020-03-19,260,8.9,-99,-99
20,01,Schleswig-Holstein,2020-03-20,311,10.7,-99,-99
21,01,Schleswig-Holstein,2020-03-21,332,11.4,-99,-99
22,01,Schleswig-Holstein,2020-03-22,345,11.9,-99,-99
23,01,Schleswig-Holstein,2020-03-23,409,14.1,-99,-99
24,01,Schleswig-Holstein,2020-03-24,463,15.9,-99,-99
25,01,Schleswig-Holstein,2020-03-25,496,17.0,-99,-99
26,01,Schleswig-Holstein,2020-03-26,532,18.3,-99,-99
27,01,Schleswig-Holstein,2020-03-27,572,19.7,-99,-99
28,01,Schleswig-Holstein,2020-03-28,608,20.9,-99,-99
29,01,Schleswig-Holstein,2020-03-29,617,21.2,-99,-99
30,01,Schleswig-Holstein,2020-03-30,602,20.7,-99,-99
31,01,Schleswig-Holstein,2020-03-31,606,20.8,-99,-99
32,01,Schleswig-Holstein,2020-04-01,622,21.4,-99,-99
33,01,Schleswig-Holstein,2020-04-02,637,21.9,-99,-99
34,01,Schleswig-Holstein,2020-04-03,631,21.7,-99,-99
35,01,Schleswig-Holstein,2020-04-04,619,21.3,-99,-99
36,01,Schleswig-Holstein,2020-04-05,612,21.0,-99,-99
37,01,Schleswig-Holstein,2020-04-06,594,20.4,-99,-99
38,01,Schleswig-Holstein,2020-04-07,602,20.7,-99,-99
39,01,Schleswig-Holstein,2020-04-08,590,20.3,-99,-99
40,01,Schleswig-Holstein,2020-04-09,571,19.6,-99,-99
41,01,Schleswig-Holstein,2020-04-10,493,16.9,-99,-99
42,01,Schleswig-Holstein,2020-04-11,464,15.9,-99,-99
43,01,Schleswig-Holstein,2020-04-12,444,15.3,-99,-99
44,01,Schleswig-Holstein,2020-04-13,482,16.6,-99,-99
45,01,Schleswig-Holstein,2020-04-14,388,13.3,-99,-99
46,01,Schleswig-Holstein,2020-04-15,340,11.7,-99,-99
47,01,Schleswig-Holstein,2020-04-16,299,10.3,-99,-99
48,01,Schleswig-Holstein,2020-04-17,305,10.5,-99,-99
49,01,Schleswig-Holstein,2020-04-18,290,10.0,-99,-99
50,01,Schleswig-Holstein,2020-04-19,283,9.7,-99,-99
51,01,Schleswig-Holstein,2020-04-20,213,7.3,-99,-99
52,01,Schleswig-Holstein,2020-04-21,233,8.0,-99,-99
53,01,Schleswig-Holstein,2020-04-22,226,7.8,-99,-99
54,01,Schleswig-Holstein,2020-04-23,216,7.4,-99,-99
55,01,Schleswig-Holstein,2020-04-24,215,7.4,-99,-99
56,01,Schleswig-Holstein,2020-04-25,206,7.1,-99,-99
57,01,Schleswig-Holstein,2020-04-26,203,7.0,-99,-99
58,01,Schleswig-Holstein,2020-04-27,188,6.5,-99,-99
59,01,Schleswig-Holstein,2020-04-28,172,5.9,-99,-99
