_id,ags2,bundesland,ags5,kreis,kr_ein_md,kr_schu_qu,kr_hh_eink_kl1,kr_hh_eink_kl2,kr_hh_eink_kl3,kr_hh_eink_kl4,kr_hh_eink_kl5,kr_hh_eink_kl6,kr_kk_hh,kr_kk_ew
1,01,Schleswig-Holstein,01001,"Flensburg, Stadt",2986,16.0,12445,12090,13834,5916,3151,3493,34024,19218
2,01,Schleswig-Holstein,01002,"Kiel, Landeshauptstadt",3304,12.1,26051,36118,39898,17458,10451,8276,36039,20189
3,01,Schleswig-Holstein,01003,"Lübeck, Hansestadt",3036,15.1,26289,26531,33868,15717,10755,9435,36890,20887
4,01,Schleswig-Holstein,01004,"Neumünster, Stadt",2842,17.9,9730,9171,10223,4855,3544,3609,39590,20305
5,01,Schleswig-Holstein,01051,Dithmarschen,2914,12.8,12201,10218,16164,10542,8814,9437,46148,23344
6,01,Schleswig-Holstein,01053,Herzogtum Lauenburg,2832,10.1,11735,14362,22983,15646,13702,18084,49967,24353
7,01,Schleswig-Holstein,01054,Nordfriesland,2768,9.8,7448,12187,22675,15556,14033,15801,49117,25957
8,01,Schleswig-Holstein,01055,Ostholstein,2636,10.6,16273,18564,28467,17645,14992,14886,43488,24034
9,01,Schleswig-Holstein,01056,Pinneberg,3036,9.5,20066,23650,34569,22615,21661,32603,51775,25414
10,01,Schleswig-Holstein,01057,Plön,2771,8.9,9646,8488,14870,10496,8958,11338,48883,24234
11,01,Schleswig-Holstein,01058,Rendsburg-Eckernförde,2945,9.4,18029,18551,32417,21976,18641,23568,49720,24158
12,01,Schleswig-Holstein,01059,Schleswig-Flensburg,2715,10.6,14317,14198,23751,16312,13565,16029,47463,23164
13,01,Schleswig-Holstein,01060,Segeberg,3031,9.8,18539,18954,29697,20250,18327,26002,50476,23996
14,01,Schleswig-Holstein,01061,Steinburg,2991,12.2,10495,10363,16442,10300,8248,8822,46349,22879
15,01,Schleswig-Holstein,01062,Stormarn,3023,7.6,12700,16666,23946,16431,17859,30177,55032,26547
16,02,Hamburg,02000,Hamburg,3619,10.5,69894,148145,249562,163295,147629,210929,48170,25801
17,03,Niedersachsen,03101,Braunschweig,3438,9.6,24932,31350,39163,19242,13656,14716,40680,23334
18,03,Niedersachsen,03102,Salzgitter,4085,13.2,14149,13984,12444,5485,4176,3996,40090,20848
19,03,Niedersachsen,03103,Wolfsburg,4622,7.7,13261,13306,15362,7551,7157,10606,47279,25562
20,03,Niedersachsen,03151,Gifhorn,3136,8.8,8987,10782,19358,14172,12255,15441,53664,24623
21,03,Niedersachsen,03153,Goslar,2858,12.5,27747,15115,17186,8922,6327,5454,37551,22249
22,03,Niedersachsen,03154,Helmstedt,2720,11.1,10828,7639,10680,6774,5742,6285,46451,24395
23,03,Niedersachsen,03155,Northeim,2931,10.7,13901,12992,18538,10143,6943,5896,44935,23239
24,03,Niedersachsen,03157,Peine,2946,10.3,12985,9521,15689,10548,8796,9232,46096,22833
25,03,Niedersachsen,03158,Wolfenbüttel,2979,9.1,11771,10652,14747,9225,7149,7531,46245,23611
26,03,Niedersachsen,03159,Göttingen,3128,9.5,32604,31828,50252,27651,18919,14820,40820,22044
27,03,Niedersachsen,03241,Hannover,3387,11.5,111885,104746,147747,87874,69936,78429,43607,22635
28,03,Niedersachsen,03251,Diepholz,2822,9.4,14651,14396,25524,17401,14678,15584,51427,24219
29,03,Niedersachsen,03252,Hameln-Pyrmont,3142,12.8,18793,15466,20529,10505,7562,7010,42657,22934
30,03,Niedersachsen,03254,Hildesheim,3044,10.8,28061,29742,38012,20317,14204,13438,43259,22549
31,03,Niedersachsen,03255,Holzminden,3132,12.2,7444,7381,10659,5246,3365,2402,43273,22415
32,03,Niedersachsen,03256,Nienburg/Weser,2866,10.9,9017,9363,15969,9834,6917,5976,46736,21975
33,03,Niedersachsen,03257,Schaumburg,2880,11.7,16820,14304,20541,12810,9179,8632,43802,22838
34,03,Niedersachsen,03351,Celle,3154,11.9,16705,14350,22081,13893,10615,9981,44797,21928
35,03,Niedersachsen,03352,Cuxhaven,2768,10.8,21774,16027,24503,14840,12351,12022,44753,22941
36,03,Niedersachsen,03353,Harburg,2718,7.9,16645,14279,24924,18918,19183,29414,54452,26401
37,03,Niedersachsen,03354,Lüchow-Dannenberg,2700,11.7,6358,4811,6748,3605,2520,1809,40417,21582
38,03,Niedersachsen,03355,Lüneburg,2890,9.4,13314,13695,24383,15594,12562,13942,43342,22005
39,03,Niedersachsen,03356,Osterholz,2737,8.5,8652,7200,13040,9094,7661,9222,49512,23845
40,03,Niedersachsen,03357,Rotenburg (Wümme),2850,9.3,11924,10801,18835,13176,10792,11159,49933,23380
41,03,Niedersachsen,03358,Heidekreis,2892,10.9,12248,11076,17131,10837,8242,7515,46076,21961
42,03,Niedersachsen,03359,Stade,3098,9.3,15185,14049,22975,15849,13233,16864,49365,23693
43,03,Niedersachsen,03360,Uelzen,2766,11.8,11630,8504,11622,6414,4927,4415,42812,22017
44,03,Niedersachsen,03361,Verden,2926,8.9,9199,8627,15863,11216,9276,10514,52111,24584
45,03,Niedersachsen,03401,Delmenhorst,2815,15.3,10258,8486,8758,4815,3628,3351,39730,20129
46,03,Niedersachsen,03402,Emden,3562,13.8,8815,5383,5272,2775,2261,2339,36998,19899
47,03,Niedersachsen,03403,"Oldenburg, Stadt",3152,10.5,23996,16722,22091,12316,10539,10352,36383,20662
48,03,Niedersachsen,03404,"Osnabrück, Stadt",3245,11.0,16266,19836,25401,12560,8908,8379,40027,22127
49,03,Niedersachsen,03405,Wilhelmshaven,3169,17.1,19140,10280,7408,3318,2552,2495,32408,19249
50,03,Niedersachsen,03451,Ammerland,2809,8.3,11049,7379,12825,9297,7968,10594,48724,23067
51,03,Niedersachsen,03452,Aurich,2785,10.7,17078,15375,24644,15292,12209,11389,42416,21463
52,03,Niedersachsen,03453,Cloppenburg,2609,9.2,6791,9599,19322,13387,10852,10826,51251,21252
53,03,Niedersachsen,03454,Emsland,2972,8.8,20183,19305,35082,24517,21223,21487,51082,22154
54,03,Niedersachsen,03455,Friesland,2898,10.1,11113,7776,12146,7494,5899,5916,42734,21796
55,03,Niedersachsen,03456,Grafschaft Bentheim,2833,8.7,11394,8873,14909,10072,8120,8557,46642,21058
56,03,Niedersachsen,03457,Leer,2761,10.6,14557,13349,21369,13350,10749,9598,41709,20267
57,03,Niedersachsen,03458,"Oldenburg, Kreis",2720,8.5,8346,6656,13075,10563,9371,11627,52762,24040
58,03,Niedersachsen,03459,"Osnabrück, Kreis",2808,8.4,17600,22191,44119,31278,24074,23292,52398,23787
59,03,Niedersachsen,03460,Vechta,2821,8.1,8571,6492,13559,10249,9575,12249,54694,23244
60,03,Niedersachsen,03461,Wesermarsch,3428,11.3,10841,7221,9804,6425,5462,4890,45255,22807
61,03,Niedersachsen,03462,Wittmund,2685,10.5,5717,4800,7320,4377,3308,3466,43137,21966
62,04,Bremen,04011,Bremen,3445,12.6,75632,65215,69112,35082,30294,32188,41931,22720
63,04,Bremen,04012,Bremerhaven,3196,20.8,19047,17764,14668,5315,3269,3045,34647,19240
64,05,Nordrhein-Westfalen,05111,Düsseldorf,3882,12.1,16669,52032,100160,67334,50943,62133,47910,26908
65,05,Nordrhein-Westfalen,05112,Duisburg,3467,17.1,61799,79823,56028,22913,15281,13910,35453,17756
66,05,Nordrhein-Westfalen,05113,Essen,3451,13.8,64444,77308,82474,38662,25240,26543,39659,21414
67,05,Nordrhein-Westfalen,05114,Krefeld,3423,15.1,23236,27944,32668,13346,9703,13035,42366,22342
68,05,Nordrhein-Westfalen,05116,Mönchengladbach,3047,16.1,24132,32588,39321,17811,11101,11034,41621,21682
69,05,Nordrhein-Westfalen,05117,Mülheim an der Ruhr,3523,11.6,10384,17829,27503,13858,8707,10675,46198,24085
70,05,Nordrhein-Westfalen,05119,Oberhausen,3272,15.2,22042,28879,32202,11965,7208,6219,37783,19453
71,05,Nordrhein-Westfalen,05120,Remscheid,3323,13.9,7815,12653,17965,7837,5091,4856,45638,23044
72,05,Nordrhein-Westfalen,05122,Solingen,3085,14.6,10941,15135,23782,13313,8648,9272,47381,24127
73,05,Nordrhein-Westfalen,05124,Wuppertal,3379,18.4,25127,45761,64578,22382,13577,12866,42794,22209
74,05,Nordrhein-Westfalen,05154,Kleve,2882,10.4,21766,20524,36316,23287,18344,17376,48568,21390
75,05,Nordrhein-Westfalen,05158,Mettmann,3473,10.3,25259,47052,66922,36013,28462,41901,52666,26639
76,05,Nordrhein-Westfalen,05162,Rhein-Kreis Neuss,3446,10.5,11274,31807,59307,36273,29432,41252,56489,26179
77,05,Nordrhein-Westfalen,05166,Viersen,2969,10.3,21664,21380,35009,21941,17714,22489,51296,24063
78,05,Nordrhein-Westfalen,05170,Wesel,3047,10.0,37130,35948,54968,33678,26582,28586,48921,23068
79,05,Nordrhein-Westfalen,05314,Bonn,3857,8.9,12262,29172,51200,31603,23038,25171,46082,24105
80,05,Nordrhein-Westfalen,05315,Köln,3696,11.7,40854,92910,148998,103720,83741,90260,44912,23139
81,05,Nordrhein-Westfalen,05316,Leverkusen,4170,11.7,8450,18657,24873,11853,7982,10039,45135,22565
82,05,Nordrhein-Westfalen,05334,Aachen,3365,11.1,43010,59534,83817,41688,27194,26949,41812,21182
83,05,Nordrhein-Westfalen,05358,Düren,3236,11.9,16491,21454,33520,20286,15064,13752,48005,21871
84,05,Nordrhein-Westfalen,05362,Rhein-Erft-Kreis,3188,11.3,32951,31234,55349,36396,28930,37719,49527,23424
85,05,Nordrhein-Westfalen,05366,Euskirchen,3079,11.0,12527,12939,22783,15404,11878,12581,49522,22532
86,05,Nordrhein-Westfalen,05370,Heinsberg,2926,11.6,19463,16633,29125,19359,15718,15844,46745,21244
87,05,Nordrhein-Westfalen,05374,Oberbergischer Kreis,3320,10.3,15732,19020,34452,23788,18168,16219,51509,24117
88,05,Nordrhein-Westfalen,05378,Rheinisch-Bergischer Kreis,3192,9.0,12972,16513,30529,22669,20782,31156,57845,27490
89,05,Nordrhein-Westfalen,05382,Rhein-Sieg-Kreis,3082,8.8,29724,34644,65708,48138,42065,55385,54215,24877
90,05,Nordrhein-Westfalen,05512,Bottrop,3149,11.8,8974,12073,18299,8957,5308,4994,42061,20967
91,05,Nordrhein-Westfalen,05513,Gelsenkirchen,3242,18.0,29324,44028,38441,11564,5876,4228,33306,17120
92,05,Nordrhein-Westfalen,05515,Münster,3432,8.4,14553,26573,49228,31355,22244,24819,44284,23704
