_id,ags2,bundesland,ags5,kreis,kr_schu_kom,kr_sk,kr_us_ew
1,01,schleswig-holstein,01001,"flensburg, stadt",1282.4,767.3,78.1
2,01,schleswig-holstein,01002,"kiel, landeshauptstadt",2269.4,755.3,87.5
3,01,schleswig-holstein,01003,"luebeck, hansestadt",3039.8,724.8,80.8
4,01,schleswig-holstein,01004,"neumuenster, stadt",1650.6,775.4,73.8
5,01,schleswig-holstein,01051,dithmarschen,1831.6,824.7,46.8
6,01,schleswig-holstein,01053,herzogtum lauenburg,1251.8,791.1,36.0
7,01,schleswig-holstein,01054,nordfriesland,2433.1,896.3,54.4
8,01,schleswig-holstein,01055,ostholstein,1114.9,762.6,42.0
9,01,schleswig-holstein,01056,pinneberg,1820.7,1054.6,49.7
10,01,schleswig-holstein,01057,ploen,1560.1,709.4,29.3
11,01,schleswig-holstein,01058,rendsburg-eckernfoerde,1233.2,772.1,38.9
12,01,schleswig-holstein,01059,schleswig-flensburg,1499.6,706.4,35.6
13,01,schleswig-holstein,01060,segeberg,1434.1,920.9,56.7
14,01,schleswig-holstein,01061,steinburg,1363.4,771.3,54.3
15,01,schleswig-holstein,01062,stormarn,637.9,1071.5,61.2
16,02,hamburg,02000,hamburg,0.0,1369.2,127.9
17,03,niedersachsen,03101,braunschweig,226.1,994.2,100.0
18,03,niedersachsen,03102,salzgitter,3507.3,767.6,104.1
19,03,niedersachsen,03103,wolfsburg,853.0,1394.1,184.6
20,03,niedersachsen,03151,gifhorn,780.7,722.2,34.4
21,03,niedersachsen,03153,goslar,1030.1,638.6,50.7
22,03,niedersachsen,03154,helmstedt,2865.9,670.2,38.2
23,03,niedersachsen,03155,northeim,1653.4,719.4,56.8
24,03,niedersachsen,03157,peine,1538.3,679.0,40.0
25,03,niedersachsen,03158,wolfenbuettel,1591.4,757.6,36.5
26,03,niedersachsen,03159,goettingen,1206.3,742.1,63.6
27,03,niedersachsen,03241,hannover,2701.9,971.3,92.6
28,03,niedersachsen,03251,diepholz,665.6,866.0,56.2
29,03,niedersachsen,03252,hameln-pyrmont,1695.3,671.2,68.8
30,03,niedersachsen,03254,hildesheim,1840.6,720.9,56.8
31,03,niedersachsen,03255,holzminden,1706.8,785.7,55.7
32,03,niedersachsen,03256,nienburg/weser,1452.9,728.7,50.2
33,03,niedersachsen,03257,schaumburg,2022.7,663.5,43.2
34,03,niedersachsen,03351,celle,2929.1,689.3,50.4
35,03,niedersachsen,03352,cuxhaven,1745.5,654.2,32.9
36,03,niedersachsen,03353,harburg,862.4,880.2,34.7
37,03,niedersachsen,03354,luechow-dannenberg,1975.4,583.0,43.4
38,03,niedersachsen,03355,lueneburg,2427.4,742.8,44.3
39,03,niedersachsen,03356,osterholz,2605.8,722.5,33.9
40,03,niedersachsen,03357,rotenburg (wuemme),1094.4,740.6,47.9
41,03,niedersachsen,03358,heidekreis,1410.1,672.8,49.0
42,03,niedersachsen,03359,stade,1006.6,804.2,53.6
43,03,niedersachsen,03360,uelzen,1213.3,668.8,50.9
44,03,niedersachsen,03361,verden,630.7,892.6,63.0
45,03,niedersachsen,03401,delmenhorst,1151.9,576.8,45.0
46,03,niedersachsen,03402,emden,1843.7,984.5,134.7
47,03,niedersachsen,03403,oldenburg,402.6,890.2,83.5
48,03,niedersachsen,03404,osnabrueck,1896.8,849.7,101.9
49,03,niedersachsen,03405,wilhelmshaven,519.6,691.6,65.2
50,03,niedersachsen,03451,ammerland,583.4,754.2,45.8
51,03,niedersachsen,03452,aurich,1946.0,692.6,50.1
52,03,niedersachsen,03453,cloppenburg,871.3,719.9,53.4
53,03,niedersachsen,03454,emsland,624.1,759.4,62.0
54,03,niedersachsen,03455,friesland,1163.1,669.8,41.7
55,03,niedersachsen,03456,grafschaft bentheim,1155.4,711.8,51.7
56,03,niedersachsen,03457,leer,1221.8,638.6,38.4
57,03,niedersachsen,03458,oldenburg,444.0,765.9,44.2
58,03,niedersachsen,03459,osnabrueck,1107.6,748.1,54.7
59,03,niedersachsen,03460,vechta,454.8,929.8,68.3
60,03,niedersachsen,03461,wesermarsch,2450.5,866.3,69.0
61,03,niedersachsen,03462,wittmund,1013.0,661.5,43.0
62,04,bremen,04011,bremen,0.0,943.8,99.9
63,04,bremen,04012,bremerhaven,0.0,663.8,75.2
64,05,nordrhein-westfalen,05111,duesseldorf,122.3,1487.3,172.6
65,05,nordrhein-westfalen,05112,duisburg,3958.7,680.7,74.9
66,05,nordrhein-westfalen,05113,essen,5881.8,915.0,101.9
67,05,nordrhein-westfalen,05114,krefeld,2410.8,850.1,91.6
68,05,nordrhein-westfalen,05116,moenchengladbach,4284.1,803.4,78.0
69,05,nordrhein-westfalen,05117,muelheim an der ruhr,9019.0,860.4,91.6
70,05,nordrhein-westfalen,05119,oberhausen,8957.6,667.2,70.1
71,05,nordrhein-westfalen,05120,remscheid,5854.7,815.2,97.9
72,05,nordrhein-westfalen,05122,solingen,4397.1,829.4,76.6
73,05,nordrhein-westfalen,05124,wuppertal,4631.9,886.2,80.6
74,05,nordrhein-westfalen,05154,kleve,621.1,710.2,55.3
75,05,nordrhein-westfalen,05158,mettmann,1441.7,1488.1,91.3
76,05,nordrhein-westfalen,05162,rhein-kreis neuss,1187.6,1128.3,80.7
77,05,nordrhein-westfalen,05166,viersen,1239.2,805.7,61.7
78,05,nordrhein-westfalen,05170,wesel,2441.0,776.9,56.9
79,05,nordrhein-westfalen,05314,bonn,4781.3,1070.8,102.6
80,05,nordrhein-westfalen,05315,koeln,2470.3,1122.8,120.2
81,05,nordrhein-westfalen,05316,leverkusen,2523.9,909.2,107.4
82,05,nordrhein-westfalen,05334,aachen,2955.5,819.9,73.5
83,05,nordrhein-westfalen,05358,dueren,2491.6,768.3,63.3
84,05,nordrhein-westfalen,05362,rhein-erft-kreis,1762.9,944.3,65.4
