_id,ags2,bundesland,ags5,kreis,kr_dl_qu,kr_id_qu,kr_abh_alt,kr_abh_ju,kr_alo_q,kr_erwt_ao,kr_erwt_ao_b1,kr_erwt_ao_b2,kr_erwt_ao_b3,kr_erwt_ao_b4,kr_erwt_ao_b5,kr_erwt_ao_b6,kr_erwt_ao_b7,kr_erwt_ao_b8,kr_erwt_ao_b9,kr_erwt_ao_b99,kr_erwpers,kr_be_ao,kr_be_ao_vz,kr_be_ao_tz,kr_be_wo,kr_be_wo_vz,kr_be_wo_tz,kr_selbst,kr_mithfam,kr_beamte,kr_rentner
1,01,Schleswig-Holstein,01001,"Flensburg, Stadt",60.2,11.4,30.2,19.0,8.7,66943,83,0,2243,5050,5081,14756,6131,32508,535,556,47951,44609,29266,15343,32321,21155,11166,3346,-99,1479,21429
2,01,Schleswig-Holstein,01002,"Kiel, Landeshauptstadt",59.8,10.9,26.7,17.8,8.3,190296,283,10,6420,12830,9577,31930,19642,100809,5998,2797,127593,125485,83562,41923,88170,57141,31029,9530,-99,4630,54211
3,01,Schleswig-Holstein,01003,"Lübeck, Hansestadt",52.5,15.8,36.1,19.5,8.0,143649,293,266,5844,9667,9752,26818,10964,76037,2053,1955,104497,99051,66894,32157,76728,52073,24655,8627,-99,2421,57457
4,01,Schleswig-Holstein,01004,"Neumünster, Stadt",59.1,16.1,35.3,21.0,8.8,58489,325,71,4210,3171,3306,12321,6200,25870,885,2130,38511,40640,29073,11567,30013,20701,9312,3494,-99,1107,20779
5,01,Schleswig-Holstein,01051,Dithmarschen,33.7,13.0,39.2,20.5,6.1,67267,1269,33,4580,5040,7702,7649,3748,33188,2708,1350,62924,42531,29502,13029,48777,34298,14479,6926,1220,2667,37086
6,01,Schleswig-Holstein,01053,Herzogtum Lauenburg,27.2,10.1,35.0,22.2,5.2,77808,852,42,4793,6782,3493,13989,6493,38277,1936,1151,94313,48825,32292,16533,74895,52429,22466,10641,668,4223,51435
7,01,Schleswig-Holstein,01054,Nordfriesland,45.1,10.2,37.8,20.1,5.3,100323,1306,155,6466,5034,6457,14006,6754,54587,4270,1288,84851,61001,41844,19157,61341,41574,19767,11218,1559,3748,46239
8,01,Schleswig-Holstein,01055,Ostholstein,38.5,10.0,44.8,19.2,5.6,100965,1159,96,6204,6732,3511,12548,7632,57598,2927,2558,93718,62116,40194,21922,73072,48546,24526,12062,678,4046,61191
9,01,Schleswig-Holstein,01056,Pinneberg,31.2,13.2,34.5,21.8,5.1,144299,1745,6,8725,17386,6256,29054,12391,64951,2034,1751,156235,92691,64521,28170,126492,89577,36915,17980,1473,6036,79910
10,01,Schleswig-Holstein,01057,Plön,25.0,7.8,42.1,20.9,4.5,48720,737,68,3794,2989,2169,7477,2690,27081,982,733,59401,27975,17453,10522,46060,30500,15560,6800,549,2172,37060
11,01,Schleswig-Holstein,01058,Rendsburg-Eckernförde,32.5,10.8,36.8,21.6,4.4,131818,1816,101,8471,10122,6490,23060,9905,68175,1747,1931,127380,79919,53737,26182,99934,67429,32505,14880,1865,5159,73747
12,01,Schleswig-Holstein,01059,Schleswig-Flensburg,33.0,9.5,37.6,22.0,4.7,93289,1689,117,6482,7658,4942,17233,7530,44738,1603,1297,97924,56550,37327,19223,70647,46383,24264,11184,1864,3599,55965
13,01,Schleswig-Holstein,01060,Segeberg,36.5,13.9,33.8,21.6,4.5,139375,1296,329,8719,19676,5775,33070,12577,54560,1261,2112,137968,93038,66305,26733,113212,80313,32899,15140,918,5466,71988
14,01,Schleswig-Holstein,01061,Steinburg,30.8,12.8,35.2,20.5,5.7,62231,1009,24,6003,6128,3862,9610,5365,28378,1165,687,63755,39389,26680,12709,50794,35791,15003,7155,-99,3095,34252
15,01,Schleswig-Holstein,01062,Stormarn,38.3,16.2,36.6,22.6,3.4,129169,1115,30,6431,17728,4498,27558,9497,58247,2102,1963,117959,86542,62206,24336,95471,67064,28407,14957,618,6446,63417
16,02,Hamburg,02000,Hamburg,65.0,11.9,27.2,20.7,7.0,1123599,1673,2289,38158,82966,69319,201728,144620,567542,4914,10390,931688,996029,714733,281296,733474,513879,219595,122076,5464,56383,404074
17,03,Niedersachsen,03101,Braunschweig,60.8,16.3,31.5,18.2,5.3,175641,386,60,5617,15340,5294,22459,17991,102534,3216,2744,129801,132229,92431,39798,99742,71287,28455,8786,-99,5051,55590
18,03,Niedersachsen,03102,Salzgitter,30.3,41.8,36.3,23.2,9.6,61113,261,27,3408,11896,4727,9547,2434,25960,545,2308,49726,48610,38347,10263,39018,28734,10284,2136,-99,1981,28605
19,03,Niedersachsen,03103,Wolfsburg,58.0,91.8,34.9,21.3,4.8,137144,711,58,4077,49557,2076,13542,3443,61230,1692,758,63456,121297,102281,19016,49799,38291,11508,3321,-99,2903,31859
20,03,Niedersachsen,03151,Gifhorn,26.1,9.2,30.1,22.2,4.4,60078,926,222,2886,6113,1508,6542,3401,36703,1020,757,86494,43034,28388,14646,72209,52919,19290,6203,1109,5021,43303
21,03,Niedersachsen,03153,Goslar,38.2,13.7,43.9,17.6,6.5,65913,473,160,2845,6103,2071,7806,3864,37543,1226,3822,62486,45622,30694,14928,48075,33148,14927,6530,737,2412,40695
22,03,Niedersachsen,03154,Helmstedt,27.4,10.0,36.4,20.1,6.3,31300,634,18,1606,2075,2562,5466,1885,15473,588,993,45557,23139,15295,7844,37233,27430,9803,3312,486,2120,25026
23,03,Niedersachsen,03155,Northeim,31.7,20.1,40.4,19.5,5.6,63616,986,13,3276,9154,1180,9192,2721,34466,2147,481,64361,45700,31803,13897,51302,35691,15611,4989,611,2065,38704
24,03,Niedersachsen,03157,Peine,24.4,11.7,33.3,22.1,4.9,47235,638,33,2871,5378,2283,6598,3624,24262,658,890,65466,33041,22203,10838,53477,38360,15117,5022,358,3009,34211
25,03,Niedersachsen,03158,Wolfenbüttel,23.4,7.8,36.7,19.8,4.8,38689,580,29,2390,3436,1081,4768,1928,23104,821,552,58488,25091,15753,9338,46981,33402,13579,5100,-99,2343,32013
26,03,Niedersachsen,03159,Göttingen,45.2,14.1,34.2,18.9,5.8,183682,1206,122,7373,20610,7613,26791,12942,102219,3183,1623,158303,130380,86164,44216,122112,80456,41656,11760,1075,5130,84644
27,03,Niedersachsen,03241,Hannover,52.8,13.4,32.3,20.9,7.0,726178,2776,3026,22908,92241,25246,104875,63178,398662,5143,8123,576940,517176,365013,152163,445400,311729,133671,52961,5039,32595,272978
28,03,Niedersachsen,03251,Diepholz,32.7,15.7,34.5,21.0,4.3,105963,2748,536,6326,13579,4661,16914,8722,47980,1467,3030,108947,71743,49161,22582,89607,63940,25667,11762,1527,5467,56073
29,03,Niedersachsen,03252,Hameln-Pyrmont,39.3,16.0,41.0,20.6,6.7,73940,873,81,2913,10018,1329,10986,4712,41716,800,512,70400,52107,34808,17299,55993,38457,17536,6594,827,2579,42159
30,03,Niedersachsen,03254,Hildesheim,34.8,15.9,36.2,19.6,6.3,133605,1351,328,6341,19411,5422,21919,8628,67242,1919,1044,135432,92824,63654,29170,105637,73694,31943,11127,1258,5046,74903
31,03,Niedersachsen,03255,Holzminden,25.9,22.9,42.0,19.5,6.9,32131,312,295,1412,3862,890,6441,2929,15310,418,262,32881,22867,16068,6799,25887,18475,7412,2546,-99,1028,20429
32,03,Niedersachsen,03256,Nienburg/Weser,31.0,17.4,34.2,21.3,5.2,61122,1550,160,3523,8603,2510,11985,4447,26693,894,757,61522,40807,28712,12095,48191,34083,14108,5720,830,2584,32309
33,03,Niedersachsen,03257,Schaumburg,31.3,12.8,38.7,20.1,5.8,67809,659,70,3566,11940,2067,10295,4395,33179,1001,637,74739,45722,30885,14837,59437,41633,17804,7321,908,3339,44313
34,03,Niedersachsen,03351,Celle,34.8,14.5,36.9,22.4,6.3,86260,1156,8,5639,5655,3511,13482,4566,50116,1181,946,83637,58177,39842,18335,66722,46418,20304,8814,938,4751,49041
35,03,Niedersachsen,03352,Cuxhaven,26.7,9.3,40.4,21.2,5.7,74791,2123,25,7570,5778,3385,10264,5271,37807,1673,895,94338,49184,32202,16982,73246,50908,22338,9831,1711,5073,57963
36,03,Niedersachsen,03353,Harburg,29.2,8.4,34.9,22.2,4.1,102609,1375,10,8667,9323,4677,17542,10875,46224,2593,1323,126079,66551,45199,21352,103713,73589,30124,14912,1354,10748,65530
37,03,Niedersachsen,03354,Lüchow-Dannenberg,31.2,14.6,45.7,20.1,8.1,22834,719,17,1016,1829,596,3078,1022,13375,961,221,20526,14437,8720,5717,15669,10075,5594,2954,-99,985,15317
38,03,Niedersachsen,03355,Lüneburg,35.4,10.6,29.9,21.4,5.8,88029,1297,162,4966,9504,2296,13008,4871,49927,1250,748,88879,59504,39415,20089,69782,47936,21846,9675,-99,6171,44902
39,03,Niedersachsen,03356,Osterholz,26.1,8.9,36.8,21.4,3.7,41496,676,25,3125,3346,1389,6555,2634,22310,958,478,54468,27060,17128,9932,44752,30607,14145,5938,718,2754,30253
40,03,Niedersachsen,03357,Rotenburg (Wümme),36.1,14.4,31.9,21.0,3.9,85735,2371,29,8737,6398,3345,14096,6459,41855,1246,1199,84425,56996,39428,17568,67816,47545,20271,9186,1331,4757,41884
41,03,Niedersachsen,03358,Heidekreis,37.6,13.3,34.8,21.2,5.8,74786,1258,656,6564,6962,2443,12497,4465,34761,1417,3763,68405,48061,32638,15423,54385,37906,16479,6422,669,3945,36514
42,03,Niedersachsen,03359,Stade,31.7,13.7,32.9,22.2,5.5,92920,1540,226,5901,7097,4120,18777,7569,44760,1343,1587,104186,63267,43588,19679,82731,60210,22521,8961,1936,9143,51351
43,03,Niedersachsen,03360,Uelzen,36.9,12.1,39.9,19.7,5.5,43181,1531,2,2191,3440,1293,7832,2526,22050,1710,606,42995,30051,19736,10315,34050,23043,11007,4695,825,1975,26796
44,03,Niedersachsen,03361,Verden,35.4,16.5,34.5,22.6,4.3,66958,1759,16,6126,7899,2514,10072,4984,31225,1008,1355,68108,48273,33554,14719,54730,38201,16529,6708,891,3581,35543
45,03,Niedersachsen,03401,Delmenhorst,32.1,9.3,34.4,22.2,10.3,34204,101,0,1889,3173,2411,6585,2309,17091,320,325,35386,20443,12853,7590,26124,18160,7964,2589,-99,1335,20098
