_id,ags2,bundesland,ags5,kreis,kr_arm_alt,kr_sgb_qu,kr_arm_kind
1,01,schleswig-holstein,01001,"flensburg, stadt",5.8,18.1,25.6
2,01,schleswig-holstein,01002,"kiel, landeshauptstadt",5.9,18.3,30.2
3,01,schleswig-holstein,01003,"luebeck, hansestadt",5.8,17.8,26.6
4,01,schleswig-holstein,01004,"neumuenster, stadt",4.8,17.5,25.2
5,01,schleswig-holstein,01051,dithmarschen,2.5,11.8,19.1
6,01,schleswig-holstein,01053,herzogtum lauenburg,2.6,9.1,13.5
7,01,schleswig-holstein,01054,nordfriesland,2.2,8.3,13.0
8,01,schleswig-holstein,01055,ostholstein,2.7,9.0,13.4
9,01,schleswig-holstein,01056,pinneberg,2.8,8.8,13.9
10,01,schleswig-holstein,01057,ploen,2.2,8.5,11.9
11,01,schleswig-holstein,01058,rendsburg-eckernfoerde,2.1,8.5,12.3
12,01,schleswig-holstein,01059,schleswig-flensburg,2.7,9.7,14.1
13,01,schleswig-holstein,01060,segeberg,2.8,8.1,11.5
14,01,schleswig-holstein,01061,steinburg,2.9,10.3,15.3
15,01,schleswig-holstein,01062,stormarn,2.2,6.3,9.5
16,02,hamburg,02000,hamburg,7.6,14.5,20.0
17,03,niedersachsen,03101,braunschweig,3.8,10.5,14.6
18,03,niedersachsen,03102,salzgitter,3.7,17.0,26.5
19,03,niedersachsen,03103,wolfsburg,2.1,8.7,13.3
20,03,niedersachsen,03151,gifhorn,2.0,7.0,9.0
21,03,niedersachsen,03153,goslar,3.3,12.6,20.1
22,03,niedersachsen,03154,helmstedt,2.1,10.3,14.3
23,03,niedersachsen,03155,northeim,2.3,9.9,14.6
24,03,niedersachsen,03157,peine,2.0,9.8,15.7
25,03,niedersachsen,03158,wolfenbuettel,2.9,9.3,13.1
26,03,niedersachsen,03159,goettingen,3.1,9.7,12.7
27,03,niedersachsen,03241,hannover,4.9,13.6,21.3
28,03,niedersachsen,03251,diepholz,2.6,8.6,13.2
29,03,niedersachsen,03252,hameln-pyrmont,3.5,12.5,20.3
30,03,niedersachsen,03254,hildesheim,2.6,11.0,16.4
31,03,niedersachsen,03255,holzminden,2.9,10.8,16.9
32,03,niedersachsen,03256,nienburg/weser,2.8,11.1,17.4
33,03,niedersachsen,03257,schaumburg,2.7,10.2,15.2
34,03,niedersachsen,03351,celle,3.4,11.9,17.0
