_id,ags2,bundesland,ags5,kreis,kr_pkw_dichte
1,01,Schleswig-Holstein,01001,"Flensburg, Stadt",433
2,01,Schleswig-Holstein,01002,"Kiel, Landeshauptstadt",390
3,01,Schleswig-Holstein,01003,"Lübeck, Hansestadt",415
4,01,Schleswig-Holstein,01004,"Neumünster, Stadt",470
5,01,Schleswig-Holstein,01051,Dithmarschen,587
6,01,Schleswig-Holstein,01053,Herzogtum Lauenburg,565
7,01,Schleswig-Holstein,01054,Nordfriesland,591
8,01,Schleswig-Holstein,01055,Ostholstein,601
9,01,Schleswig-Holstein,01056,Pinneberg,517
10,01,Schleswig-Holstein,01057,Plön,599
11,01,Schleswig-Holstein,01058,Rendsburg-Eckernförde,602
12,01,Schleswig-Holstein,01059,Schleswig-Flensburg,607
13,01,Schleswig-Holstein,01060,Segeberg,558
14,01,Schleswig-Holstein,01061,Steinburg,588
15,01,Schleswig-Holstein,01062,Stormarn,560
16,02,Hamburg,02000,Hamburg,352
17,03,Niedersachsen,03101,Braunschweig,444
18,03,Niedersachsen,03102,Salzgitter,507
19,03,Niedersachsen,03103,Wolfsburg,453
20,03,Niedersachsen,03151,Gifhorn,588
21,03,Niedersachsen,03153,Goslar,550
22,03,Niedersachsen,03154,Helmstedt,584
23,03,Niedersachsen,03155,Northeim,622
24,03,Niedersachsen,03157,Peine,605
25,03,Niedersachsen,03158,Wolfenbüttel,600
26,03,Niedersachsen,03159,Göttingen,525
27,03,Niedersachsen,03241,Hannover,454
28,03,Niedersachsen,03251,Diepholz,609
29,03,Niedersachsen,03252,Hameln-Pyrmont,594
30,03,Niedersachsen,03254,Hildesheim,554
31,03,Niedersachsen,03255,Holzminden,608
32,03,Niedersachsen,03256,Nienburg/Weser,598
33,03,Niedersachsen,03257,Schaumburg,616
34,03,Niedersachsen,03351,Celle,578
35,03,Niedersachsen,03352,Cuxhaven,613
36,03,Niedersachsen,03353,Harburg,610
37,03,Niedersachsen,03354,Lüchow-Dannenberg,612
38,03,Niedersachsen,03355,Lüneburg,520
39,03,Niedersachsen,03356,Osterholz,615
40,03,Niedersachsen,03357,Rotenburg (Wümme),612
41,03,Niedersachsen,03358,Heidekreis,598
42,03,Niedersachsen,03359,Stade,579
43,03,Niedersachsen,03360,Uelzen,588
44,03,Niedersachsen,03361,Verden,589
45,03,Niedersachsen,03401,Delmenhorst,506
46,03,Niedersachsen,03402,Emden,462
47,03,Niedersachsen,03403,"Oldenburg, Stadt",464
48,03,Niedersachsen,03404,"Osnabrück, Stadt",443
49,03,Niedersachsen,03405,Wilhelmshaven,494
50,03,Niedersachsen,03451,Ammerland,601
51,03,Niedersachsen,03452,Aurich,581
52,03,Niedersachsen,03453,Cloppenburg,561
53,03,Niedersachsen,03454,Emsland,571
54,03,Niedersachsen,03455,Friesland,638
55,03,Niedersachsen,03456,Grafschaft Bentheim,570
56,03,Niedersachsen,03457,Leer,581
57,03,Niedersachsen,03458,"Oldenburg, Kreis",601
58,03,Niedersachsen,03459,"Osnabrück, Kreis",608
59,03,Niedersachsen,03460,Vechta,563
60,03,Niedersachsen,03461,Wesermarsch,577
61,03,Niedersachsen,03462,Wittmund,613
62,04,Bremen,04011,Bremen,375
63,04,Bremen,04012,Bremerhaven,404
64,05,Nordrhein-Westfalen,05111,Düsseldorf,375
65,05,Nordrhein-Westfalen,05112,Duisburg,432
66,05,Nordrhein-Westfalen,05113,Essen,439
67,05,Nordrhein-Westfalen,05114,Krefeld,474
68,05,Nordrhein-Westfalen,05116,Mönchengladbach,486
69,05,Nordrhein-Westfalen,05117,Mülheim an der Ruhr,504
70,05,Nordrhein-Westfalen,05119,Oberhausen,496
71,05,Nordrhein-Westfalen,05120,Remscheid,506
72,05,Nordrhein-Westfalen,05122,Solingen,525
73,05,Nordrhein-Westfalen,05124,Wuppertal,441
74,05,Nordrhein-Westfalen,05154,Kleve,586
75,05,Nordrhein-Westfalen,05158,Mettmann,540
76,05,Nordrhein-Westfalen,05162,Rhein-Kreis Neuss,551
77,05,Nordrhein-Westfalen,05166,Viersen,587
78,05,Nordrhein-Westfalen,05170,Wesel,591
79,05,Nordrhein-Westfalen,05314,Bonn,409
80,05,Nordrhein-Westfalen,05315,Köln,368
81,05,Nordrhein-Westfalen,05316,Leverkusen,488
82,05,Nordrhein-Westfalen,05334,Aachen,479
